Data da notificacao,Niterói
2020/03/15,3
2020/03/16,3
2020/03/17,1
2020/03/18,5
2020/03/19,5
2020/03/20,8
2020/03/21,2
2020/03/22,4
2020/03/23,5
2020/03/24,5
2020/03/25,3
2020/03/26,3
2020/03/27,12
2020/03/28,3
2020/03/29,6
2020/03/30,21
2020/03/31,21
2020/04/01,12
2020/04/02,15
2020/04/03,21
2020/04/04,7
2020/04/05,7
2020/04/06,29
2020/04/07,14
2020/04/08,22
2020/04/09,24
2020/04/10,14
2020/04/11,10
2020/04/12,12
2020/04/13,49
2020/04/14,51
2020/04/15,68
2020/04/16,41
2020/04/17,26
2020/04/18,18
2020/04/19,12
2020/04/20,60
2020/04/21,29
2020/04/22,36
2020/04/23,23
2020/04/24,72
2020/04/25,23
2020/04/26,26
2020/04/27,77
2020/04/28,71
2020/04/29,101
2020/04/30,112
2020/05/01,24
2020/05/02,31
2020/05/03,15
2020/05/04,130
2020/05/05,118
2020/05/06,112
2020/05/07,119
2020/05/08,154
2020/05/09,26
2020/05/10,13
2020/05/11,94
2020/05/12,186
2020/05/13,227
2020/05/14,158
2020/05/15,152
2020/05/16,17
2020/05/17,37
2020/05/18,180
2020/05/19,215
2020/05/20,181
2020/05/21,163
2020/05/22,122
2020/05/23,27
2020/05/24,26
2020/05/25,234
2020/05/26,134
2020/05/27,199
2020/05/28,149
2020/05/29,109
2020/05/30,25
2020/05/31,19
2020/06/01,163
2020/06/02,146
2020/06/03,146
2020/06/04,140
2020/06/05,156
2020/06/06,18
2020/06/07,18
2020/06/08,166
2020/06/09,136
2020/06/10,137
2020/06/11,53
2020/06/12,104
2020/06/13,36
2020/06/14,30
2020/06/15,146
2020/06/16,160
2020/06/17,124
2020/06/18,124
2020/06/19,119
2020/06/20,28
2020/06/21,18
2020/06/22,105
2020/06/23,152
2020/06/24,110
2020/06/25,104
2020/06/26,152
2020/06/27,22
2020/06/28,5
2020/06/29,134
2020/06/30,126
2020/07/01,138
2020/07/02,92
2020/07/03,107
2020/07/04,27
2020/07/05,21
2020/07/06,117
2020/07/07,104
2020/07/08,70
2020/07/09,71
2020/07/10,88
2020/07/11,26
2020/07/12,17
2020/07/13,94
2020/07/14,70
2020/07/15,69
2020/07/16,71
2020/07/17,72
2020/07/18,15
2020/07/19,9
2020/07/20,88
2020/07/21,137
2020/07/22,112
2020/07/23,79
2020/07/24,100
2020/07/25,15
2020/07/26,8
2020/07/27,107
2020/07/28,87
2020/07/29,75
2020/07/30,126
2020/07/31,55
2020/08/01,19
2020/08/02,46
2020/08/03,117
2020/08/04,123
2020/08/05,82
2020/08/06,118
2020/08/07,79
2020/08/08,21
2020/08/09,8
2020/08/10,150
2020/08/11,96
2020/08/12,110
2020/08/13,75
2020/08/14,108
2020/08/15,10
2020/08/16,17
2020/08/17,102
2020/08/18,80
2020/08/19,77
2020/08/20,60
2020/08/21,98
2020/08/22,19
2020/08/23,7
2020/08/24,122
2020/08/25,112
2020/08/26,120
2020/08/27,138
2020/08/28,108
2020/08/29,16
2020/08/30,13
2020/08/31,94
2020/09/01,107
2020/09/02,116
2020/09/03,124
2020/09/04,131
2020/09/05,19
2020/09/06,16
2020/09/07,6
2020/09/08,141
2020/09/09,170
2020/09/10,145
2020/09/11,84
2020/09/12,15
2020/09/13,9
2020/09/14,150
2020/09/15,147
2020/09/16,166
2020/09/17,92
2020/09/18,87
2020/09/19,13
2020/09/20,8
2020/09/21,105
2020/09/22,123
2020/09/23,147
2020/09/24,76
2020/09/25,80
2020/09/26,13
2020/09/27,20
2020/09/28,149
2020/09/29,134
2020/09/30,123
2020/10/01,115
2020/10/02,109
2020/10/03,14
2020/10/04,14
2020/10/05,120
2020/10/06,166
2020/10/07,124
2020/10/08,102
2020/10/09,115
2020/10/10,13
2020/10/11,17
2020/10/12,16
2020/10/13,168
2020/10/14,104
2020/10/15,148
2020/10/16,124
2020/10/17,12
2020/10/18,10
2020/10/19,140
2020/10/20,151
2020/10/21,150
2020/10/22,146
2020/10/23,140
2020/10/24,14
2020/10/25,15
2020/10/26,165
2020/10/27,191
2020/10/28,170
2020/10/29,184
2020/10/30,32
2020/10/31,19
2020/11/01,17
2020/11/02,24
2020/11/03,171
2020/11/04,151
2020/11/05,213
2020/11/06,184
2020/11/07,22
2020/11/08,27
2020/11/09,193
2020/11/10,213
2020/11/11,214
2020/11/12,163
2020/11/13,177
2020/11/14,46
2020/11/15,13
2020/11/16,237
2020/11/17,215
2020/11/18,178
2020/11/19,248
2020/11/20,43
2020/11/21,45
2020/11/22,28
2020/11/23,290
2020/11/24,341
2020/11/25,179
2020/11/26,330
2020/11/27,250
2020/11/28,43
2020/11/29,25
2020/11/30,349
2020/12/01,265
2020/12/02,261
2020/12/03,298
2020/12/04,363
2020/12/05,47
2020/12/06,27
2020/12/07,269
2020/12/08,331
2020/12/09,440
2020/12/10,409
2020/12/11,328
2020/12/12,21
2020/12/13,24
2020/12/14,254
2020/12/15,361
2020/12/16,365
2020/12/17,363
2020/12/18,259
2020/12/19,37
2020/12/20,22
2020/12/21,308
2020/12/22,238
2020/12/23,297
2020/12/24,17
2020/12/25,20
2020/12/26,37
2020/12/27,24
2020/12/28,403
2020/12/29,332
2020/12/30,325
2020/12/31,56
2021/01/01,34
2021/01/02,61
2021/01/03,49
2021/01/04,312
2021/01/05,332
2021/01/06,313
2021/01/07,232
2021/01/08,221
2021/01/09,36
2021/01/10,36
2021/01/11,250
2021/01/12,249
2021/01/13,267
2021/01/14,235
2021/01/15,216
2021/01/16,23
2021/01/17,9
2021/01/18,251
2021/01/19,248
2021/01/20,154
2021/01/21,143
2021/01/22,188
2021/01/23,18
2021/01/24,11
2021/01/25,234
2021/01/26,137
2021/01/27,117
2021/01/28,99
2021/01/29,59
2021/01/30,15
2021/01/31,26
2021/02/01,116
2021/02/02,102
2021/02/03,119
2021/02/04,103
2021/02/05,66
2021/02/06,13
2021/02/07,6
2021/02/08,123
2021/02/09,91
2021/02/10,73
2021/02/11,89
2021/02/12,63
2021/02/13,6
2021/02/14,11
2021/02/15,45
2021/02/16,9
2021/02/17,90
2021/02/18,132
2021/02/19,71
2021/02/20,12
2021/02/21,9
2021/02/22,110
2021/02/23,152
2021/02/24,84
2021/02/25,86
2021/02/26,116
2021/02/27,11
2021/02/28,12
2021/03/01,112
2021/03/02,126
2021/03/03,84
2021/03/04,117
2021/03/05,108
2021/03/06,15
2021/03/07,15
2021/03/08,149
2021/03/09,156
2021/03/10,127
2021/03/11,143
2021/03/12,121
2021/03/13,21
2021/03/14,20
2021/03/15,179
2021/03/16,150
2021/03/17,142
2021/03/18,143
2021/03/19,107
2021/03/20,23
2021/03/21,18
2021/03/22,181
2021/03/23,177
2021/03/24,151
2021/03/25,151
2021/03/26,170
2021/03/27,28
2021/03/28,16
2021/03/29,195
2021/03/30,160
2021/03/31,192
2021/04/01,139
2021/04/02,44
2021/04/03,33
2021/04/04,22
2021/04/05,255
2021/04/06,192
2021/04/07,161
2021/04/08,172
2021/04/09,139
2021/04/10,22
2021/04/11,12
2021/04/12,185
2021/04/13,209
2021/04/14,133
2021/04/15,121
2021/04/16,112
2021/04/17,21
2021/04/18,18
2021/04/19,183
2021/04/20,125
2021/04/21,109
2021/04/22,150
2021/04/23,95
2021/04/24,25
2021/04/25,17
2021/04/26,152
2021/04/27,139
2021/04/28,141
2021/04/29,121
2021/04/30,148
2021/05/01,69
2021/05/02,75
2021/05/03,207
2021/05/04,199
2021/05/05,175
2021/05/06,191
2021/05/07,196
2021/05/08,43
2021/05/09,59
2021/05/10,204
2021/05/11,163
2021/05/12,127
2021/05/13,140
2021/05/14,170
2021/05/15,51
2021/05/16,27
2021/05/17,204
2021/05/18,188
2021/05/19,243
2021/05/20,148
2021/05/21,126
2021/05/22,41
2021/05/23,33
2021/05/24,135
2021/05/25,166
2021/05/26,148
2021/05/27,132
2021/05/28,127
2021/05/29,31
2021/05/30,84
2021/05/31,153
2021/06/01,185
2021/06/02,133
2021/06/03,89
2021/06/04,76
2021/06/05,42
2021/06/06,22
2021/06/07,142
2021/06/08,154
2021/06/09,116
2021/06/10,136
2021/06/11,103
2021/06/12,36
2021/06/13,28
2021/06/14,108
2021/06/15,112
2021/06/16,99
2021/06/17,93
2021/06/18,128
2021/06/19,32
2021/06/20,43
2021/06/21,107
2021/06/22,116
2021/06/23,90
2021/06/24,37
2021/06/25,75
2021/06/26,31
2021/06/27,32
2021/06/28,109
2021/06/29,33
2021/06/30,77
2021/07/01,83
2021/07/02,66
2021/07/03,28
2021/07/04,26
2021/07/05,127
2021/07/06,96
2021/07/07,89
2021/07/08,117
2021/07/09,167
2021/07/10,15
2021/07/11,25
2021/07/12,90
2021/07/13,131
2021/07/14,103
2021/07/15,129
2021/07/16,136
2021/07/17,33
2021/07/18,30
2021/07/19,57
2021/07/20,158
2021/07/21,128
2021/07/22,120
2021/07/23,168
2021/07/24,21
2021/07/25,22
2021/07/26,177
2021/07/27,144
2021/07/28,155
2021/07/29,126
2021/07/30,115
2021/07/31,41
2021/08/01,17
2021/08/02,139
2021/08/03,185
2021/08/04,151
2021/08/05,128
2021/08/06,87
2021/08/07,50
2021/08/08,44
2021/08/09,167
2021/08/10,101
2021/08/11,113
2021/08/12,97
2021/08/13,80
2021/08/14,34
2021/08/15,51
2021/08/16,165
2021/08/17,142
2021/08/18,146
2021/08/19,114
2021/08/20,127
2021/08/21,56
2021/08/22,19
2021/08/23,228
2021/08/24,125
2021/08/25,131
2021/08/26,86
2021/08/27,113
2021/08/28,38
2021/08/29,18
2021/08/30,162
2021/08/31,105
2021/09/01,126
2021/09/02,87
2021/09/03,95
2021/09/04,22
2021/09/05,37
2021/09/06,60
2021/09/07,72
2021/09/08,68
2021/09/09,79
2021/09/10,65
2021/09/11,12
2021/09/12,10
2021/09/13,90
2021/09/14,49
2021/09/15,96
2021/09/16,75
2021/09/17,57
2021/09/18,11
2021/09/19,4
2021/09/20,55
2021/09/21,65
2021/09/22,35
2021/09/23,53
2021/09/24,60
2021/09/25,5
2021/09/26,20
2021/09/27,48
2021/09/28,40
2021/09/29,59
2021/09/30,27
2021/10/01,58
2021/10/02,13
2021/10/03,10
2021/10/04,44
2021/10/05,53
2021/10/06,58
2021/10/07,41
2021/10/08,21
2021/10/09,7
2021/10/10,7
2021/10/11,11
2021/10/12,33
2021/10/13,41
2021/10/14,29
2021/10/15,26
2021/10/16,5
2021/10/17,53
2021/10/18,40
2021/10/19,18
2021/10/20,19
2021/10/21,26
2021/10/22,28
2021/10/23,7
2021/10/24,21
2021/10/25,32
2021/10/26,20
2021/10/27,14
2021/10/28,22
2021/10/29,20
2021/10/30,3
2021/10/31,2
2021/11/01,5
2021/11/02,3
2021/11/03,25
2021/11/04,10
2021/11/05,12
2021/11/06,1
2021/11/07,1
2021/11/08,12
2021/11/09,21
2021/11/10,8
2021/11/11,6
2021/11/12,7
2021/11/13,
2021/11/14,1
2021/11/15,3
2021/11/16,10
2021/11/17,19
2021/11/18,13
2021/11/19,8
2021/11/20,
2021/11/21,1
2021/11/22,11
2021/11/23,25
2021/11/24,19
2021/11/25,16
2021/11/26,22
2021/11/27,1
2021/11/28,2
2021/11/29,17
2021/11/30,12
2021/12/01,24
2021/12/02,13
2021/12/03,21
2021/12/04,3
2021/12/05,2
2021/12/06,31
2021/12/07,15
2021/12/08,21
2021/12/09,12
2021/12/10,4
2021/12/11,
2021/12/12,
2021/12/13,8
2021/12/14,6
2021/12/15,5
2021/12/16,1
2021/12/17,3
2021/12/18,2
2021/12/19,
2021/12/20,2
2021/12/21,4
2021/12/22,9
2021/12/23,16
2021/12/24,9
2021/12/25,6
2021/12/26,2
2021/12/27,10
2021/12/28,44
2021/12/29,51
2021/12/30,40
2021/12/31,10
2022/01/01,12
2022/01/02,10
2022/01/03,64
2022/01/04,152
2022/01/05,275
2022/01/06,326
2022/01/07,289
2022/01/08,73
2022/01/09,121
2022/01/10,581
2022/01/11,538
2022/01/12,637
2022/01/13,641
2022/01/14,155
2022/01/15,123
2022/01/16,92
2022/01/17,976
2022/01/18,665
2022/01/19,648
2022/01/20,498
2022/01/21,461
2022/01/22,79
2022/01/23,84
2022/01/24,420
2022/01/25,441
2022/01/26,546
2022/01/27,321
2022/01/28,301
2022/01/29,113
2022/01/30,42
2022/01/31,381
2022/02/01,312
2022/02/02,287
2022/02/03,245
2022/02/04,237
2022/02/05,34
2022/02/06,34
2022/02/07,306
2022/02/08,319
2022/02/09,380
2022/02/10,164
2022/02/11,272
2022/02/12,10
2022/02/13,6
2022/02/14,225
2022/02/15,73
2022/02/16,85
2022/02/17,55
2022/02/18,50
2022/02/19,2
2022/02/20,5
2022/02/21,77
2022/02/22,64
2022/02/23,216
2022/02/24,142
2022/02/25,22
2022/02/26,10
2022/02/27,
2022/02/28,65
2022/03/01,1
2022/03/02,53
2022/03/03,36
2022/03/04,27
2022/03/05,39
2022/03/06,5
2022/03/07,87
2022/03/08,69
2022/03/09,127
2022/03/10,159
2022/03/11,66
2022/03/12,3
2022/03/13,2
2022/03/14,74
2022/03/15,66
2022/03/16,70
2022/03/17,26
2022/03/18,31
2022/03/19,13
2022/03/20,1
2022/03/21,137
2022/03/22,137
2022/03/23,57
2022/03/24,55
2022/03/25,7
2022/03/26,
2022/03/27,3
2022/03/28,21
2022/03/29,83
2022/03/30,127
2022/03/31,60
2022/04/01,33
2022/04/02,
2022/04/03,36
2022/04/04,64
2022/04/05,104
2022/04/06,172
2022/04/07,139
2022/04/08,70
2022/04/09,1
2022/04/10,
2022/04/11,90
2022/04/12,126
2022/04/13,62
2022/04/14,29
2022/04/15,17
2022/04/16,6
