Evolução,Diário,,Acumulados,
01/01,45,45,45,45
02/01,73,73,118,118
03/01,58,58,176,176
04/01,193,193,369,369
05/01,154,154,523,523
06/01,128,128,651,651
07/01,116,116,767,767
08/01,132,132,899,899
09/01,96,96,995,995
10/01,74,74,1.069,1.069
11/01,149,149,1.218,1.218
12/01,133,133,1.351,1.351
13/01,110,110,1.461,1.461
14/01,121,121,1.582,1.582
15/01,137,137,1.719,1.719
16/01,128,128,1.847,1.847
17/01,86,86,1.933,1.933
18/01,84,84,2.017,2.017
19/01,94,94,2.111,2.111
20/01,54,54,2.165,2.165
21/01,90,90,2.255,2.255
22/01,39,39,2.294,2.294
23/01,109,109,2.403,2.403
24/01,57,57,2.460,2.460
25/01,104,104,2.564,2.564
26/01,67,67,2.631,2.631
27/01,82,82,2.713,2.713
28/01,133,133,2.846,2.846
29/01,99,99,2.945,2.945
30/01,96,96,3.041,3.041
31/01,76,76,3.117,3.117
01/02,61,61,3.178,3.178
02/02,55,55,3.233,3.233
03/02,78,78,3.311,3.311
04/02,80,80,3.391,3.391
05/02,79,79,3.470,3.470
06/02,132,132,3.602,3.602
07/02,109,109,3.711,3.711
08/02,61,61,3.772,3.772
09/02,96,96,3.868,3.868
10/02,73,73,3.941,3.941
11/02,41,41,3.982,3.982
12/02,94,94,4.076,4.076
13/02,45,45,4.121,4.121
14/02,46,46,4.167,4.167
15/02,72,72,4.239,4.239
16/02,114,114,4.353,4.353
17/02,126,126,4.479,4.479
18/02,89,89,4.568,4.568
19/02,83,83,4.651,4.651
20/02,35,35,4.686,4.686
21/02,45,45,4.731,4.731
22/02,50,50,4.781,4.781
23/02,84,84,4.865,4.865
24/02,104,104,4.969,4.969
25/02,76,76,5.045,5.045
26/02,85,85,5.130,5.130
27/02,43,43,5.173,5.173
28/02,35,35,5.208,5.208
01/03,102,102,5.310,5.310
02/03,87,87,5.397,5.397
03/03,74,74,5.471,5.471
04/03,144,144,5.615,5.615
05/03,136,136,5.751,5.751
06/03,104,104,5.855,5.855
07/03,84,84,5.939,5.939
08/03,142,142,6.081,6.081
09/03,103,103,6.184,6.184
10/03,117,117,6.301,6.301
11/03,133,133,6.434,6.434
12/03,126,126,6.560,6.560
13/03,92,92,6.652,6.652
14/03,68,68,6.720,6.720
15/03,125,125,6.845,6.845
16/03,109,109,6.954,6.954
17/03,187,187,7.141,7.141
18/03,112,112,7.253,7.253
19/03,153,153,7.406,7.406
20/03,155,155,7.561,7.561
21/03,93,93,7.654,7.654
22/03,120,120,7.774,7.774
23/03,144,144,7.918,7.918
24/03,139,139,8.057,8.057
25/03,120,120,8.177,8.177
26/03,148,148,8.325,8.325
27/03,124,124,8.449,8.449
28/03,117,117,8.566,8.566
29/03,174,174,8.740,8.740
30/03,179,179,8.919,8.919
31/03,175,175,9.094,9.094
01/04,146,146,9.240,9.240
02/04,154,154,9.394,9.394
03/04,188,188,9.582,9.582
04/04,73,73,9.655,9.655
05/04,137,137,9.792,9.792
06/04,115,115,9.907,9.907
07/04,152,152,10.059,10.059
08/04,127,127,10.186,10.186
09/04,134,134,10.320,10.320
10/04,152,152,10.472,10.472
11/04,90,90,10.562,10.562
12/04,168,168,10.730,10.730
13/04,165,165,10.895,10.895
14/04,165,165,11.060,11.060
15/04,135,135,11.195,11.195
16/04,173,173,11.368,11.368
17/04,152,152,11.520,11.520
18/04,83,83,11.603,11.603
19/04,110,110,11.713,11.713
20/04,102,102,11.815,11.815
21/04,75,75,11.890,11.890
22/04,95,95,11.985,11.985
23/04,101,101,12.086,12.086
24/04,88,88,12.174,12.174
25/04,57,57,12.231,12.231
26/04,108,108,12.339,12.339
27/04,72,72,12.411,12.411
28/04,99,99,12.510,12.510
29/04,69,69,12.579,12.579
30/04,87,87,12.666,12.666
01/05,63,63,12.729,12.729
02/05,91,91,12.820,12.820
03/05,111,111,12.931,12.931
04/05,95,95,13.026,13.026
05/05,105,105,13.131,13.131
06/05,100,100,13.231,13.231
07/05,125,125,13.356,13.356
08/05,71,71,13.427,13.427
09/05,81,81,13.508,13.508
10/05,111,111,13.619,13.619
11/05,141,141,13.760,13.760
12/05,124,124,13.884,13.884
13/05,110,110,13.994,13.994
14/05,86,86,14.080,14.080
15/05,102,102,14.182,14.182
16/05,85,85,14.267,14.267
17/05,150,150,14.417,14.417
18/05,153,153,14.570,14.570
19/05,163,163,14.733,14.733
20/05,201,201,14.934,14.934
21/05,152,152,15.086,15.086
22/05,97,97,15.183,15.183
23/05,95,95,15.278,15.278
24/05,118,118,15.396,15.396
25/05,151,151,15.547,15.547
26/05,160,160,15.707,15.707
27/05,141,141,15.848,15.848
28/05,133,133,15.981,15.981
29/05,112,112,16.093,16.093
30/05,68,68,16.161,16.161
31/05,151,151,16.312,16.312
01/06,140,140,16.452,16.452
02/06,136,136,16.588,16.588
03/06,99,99,16.687,16.687
04/06,128,128,16.815,16.815
05/06,121,121,16.936,16.936
06/06,81,81,17.017,17.017
07/06,128,128,17.145,17.145
08/06,113,113,17.258,17.258
09/06,129,129,17.387,17.387
10/06,138,138,17.525,17.525
11/06,120,120,17.645,17.645
12/06,76,76,17.721,17.721
13/06,65,65,17.786,17.786
14/06,117,117,17.903,17.903
15/06,106,106,18.009,18.009
16/06,98,98,18.107,18.107
17/06,87,87,18.194,18.194
18/06,74,74,18.268,18.268
19/06,49,49,18.317,18.317
20/06,90,90,18.407,18.407
21/06,90,90,18.497,18.497
22/06,92,92,18.589,18.589
23/06,80,80,18.669,18.669
24/06,76,76,18.745,18.745
25/06,68,68,18.813,18.813
26/06,65,65,18.878,18.878
27/06,72,72,18.950,18.950
28/06,96,96,19.046,19.046
29/06,55,55,19.101,19.101
30/06,56,56,19.157,19.157
01/07,72,72,19.229,19.229
02/07,68,68,19.297,19.297
03/07,40,40,19.337,19.337
04/07,34,34,19.371,19.371
05/07,75,75,19.446,19.446
06/07,69,69,19.515,19.515
07/07,52,52,19.567,19.567
08/07,44,44,19.611,19.611
09/07,44,44,19.655,19.655
10/07,64,64,19.719,19.719
11/07,31,31,19.750,19.750
12/07,56,56,19.806,19.806
13/07,60,60,19.866,19.866
14/07,48,48,19.914,19.914
15/07,38,38,19.952,19.952
16/07,47,47,19.999,19.999
17/07,35,35,20.034,20.034
18/07,41,41,20.075,20.075
19/07,39,39,20.114,20.114
20/07,69,69,20.183,20.183
21/07,51,51,20.234,20.234
22/07,59,59,20.293,20.293
23/07,63,63,20.356,20.356
24/07,25,25,20.381,20.381
25/07,26,26,20.407,20.407
26/07,51,51,20.458,20.458
27/07,47,47,20.505,20.505
28/07,37,37,20.542,20.542
29/07,30,30,20.572,20.572
30/07,36,36,20.608,20.608
31/07,26,26,20.634,20.634
01/08,13,13,20.647,20.647
02/08,34,34,20.681,20.681
03/08,34,34,20.715,20.715
04/08,63,63,20.778,20.778
05/08,35,35,20.813,20.813
06/08,37,37,20.850,20.850
07/08,32,32,20.882,20.882
08/08,23,23,20.905,20.905
09/08,50,50,20.955,20.955
10/08,41,41,20.996,20.996
11/08,38,38,21.034,21.034
12/08,45,45,21.079,21.079
13/08,19,19,21.098,21.098
14/08,12,12,21.110,21.110
15/08,20,20,21.130,21.130
16/08,45,45,21.175,21.175
17/08,54,54,21.229,21.229
18/08,35,35,21.264,21.264
19/08,42,42,21.306,21.306
20/08,43,43,21.349,21.349
21/08,24,24,21.373,21.373
22/08,7,7,21.380,21.380
23/08,34,34,21.414,21.414
24/08,38,38,21.452,21.452
25/08,42,42,21.494,21.494
26/08,28,28,21.522,21.522
27/08,32,32,21.554,21.554
28/08,14,14,21.568,21.568
29/08,14,14,21.582,21.582
30/08,39,39,21.621,21.621
31/08,21,21,21.642,21.642
01/09,36,36,21.678,21.678
02/09,24,24,21.702,21.702
03/09,15,15,21.717,21.717
04/09,12,12,21.729,21.729
05/09,12,12,21.741,21.741
06/09,12,12,21.753,21.753
07/09,8,8,21.761,21.761
08/09,8,8,21.769,21.769
09/09,14,14,21.783,21.783
10/09,27,27,21.810,21.810
11/09,6,6,21.816,21.816
12/09,10,10,21.826,21.826
13/09,23,23,21.849,21.849
14/09,14,14,21.863,21.863
15/09,17,17,21.880,21.880
16/09,34,34,21.914,21.914
17/09,29,29,21.943,21.943
18/09,5,5,21.948,21.948
19/09,8,8,21.956,21.956
20/09,28,28,21.984,21.984
21/09,44,44,22.028,22.028
22/09,25,25,22.053,22.053
23/09,31,31,22.084,22.084
24/09,28,28,22.112,22.112
25/09,8,8,22.120,22.120
26/09,9,9,22.129,22.129
27/09,23,23,22.152,22.152
28/09,21,21,22.173,22.173
29/09,25,25,22.198,22.198
30/09,35,35,22.233,22.233
01/10,22,22,22.255,22.255
02/10,13,13,22.268,22.268
03/10,14,14,22.282,22.282
04/10,39,39,22.321,22.321
05/10,39,39,22.360,22.360
06/10,29,29,22.389,22.389
07/10,26,26,22.415,22.415
08/10,41,41,22.456,22.456
09/10,11,11,22.467,22.467
10/10,6,6,22.473,22.473
11/10,15,15,22.488,22.488
12/10,11,11,22.499,22.499
13/10,42,42,22.541,22.541
14/10,32,32,22.573,22.573
15/10,23,23,22.596,22.596
16/10,26,26,22.622,22.622
17/10,18,18,22.640,22.640
18/10,30,30,22.670,22.670
19/10,37,37,22.707,22.707
20/10,26,26,22.733,22.733
21/10,37,37,22.770,22.770
22/10,26,26,22.796,22.796
23/10,9,9,22.805,22.805
24/10,12,12,22.817,22.817
25/10,40,40,22.857,22.857
26/10,35,35,22.892,22.892
27/10,35,35,22.927,22.927
28/10,33,33,22.960,22.960
29/10,30,30,22.990,22.990
30/10,34,34,23.024,23.024
31/10,14,14,23.038,23.038
01/11,20,20,23.058,23.058
02/11,14,14,23.072,23.072
03/11,42,42,23.114,23.114
04/11,34,34,23.148,23.148
05/11,34,34,23.182,23.182
06/11,21,21,23.203,23.203
07/11,19,19,23.222,23.222
08/11,29,29,23.251,23.251
09/11,12,12,23.263,23.263
10/11,25,25,23.288,23.288
11/11,27,27,23.315,23.315
12/11,20,20,23.335,23.335
13/11,7,7,23.342,23.342
14/11,9,9,23.351,23.351
15/11,15,15,23.366,23.366
16/11,46,46,23.412,23.412
17/11,31,31,23.443,23.443
18/11,31,31,23.474,23.474
19/11,22,22,23.496,23.496
20/11,10,10,23.506,23.506
21/11,13,13,23.519,23.519
22/11,31,31,23.550,23.550
23/11,18,18,23.568,23.568
24/11,13,13,23.581,23.581
25/11,18,18,23.599,23.599
26/11,22,22,23.621,23.621
27/11,17,17,23.638,23.638
28/11,20,20,23.658,23.658
29/11,36,36,23.694,23.694
30/11,22,22,23.716,23.716
01/12,23,23,23.739,23.739
02/12,23,23,23.762,23.762
03/12,26,26,23.788,23.788
04/12,11,11,23.799,23.799
05/12,11,11,23.810,23.810
06/12,31,31,23.841,23.841
07/12,48,48,23.889,23.889
08/12,36,36,23.925,23.925
09/12,34,34,23.959,23.959
10/12,41,41,24.000,24.000
11/12,22,22,24.022,24.022
12/12,11,11,24.033,24.033
13/12,29,29,24.062,24.062
14/12,14,14,24.076,24.076
15/12,26,26,24.102,24.102
16/12,10,10,24.112,24.112
17/12,5,5,24.117,24.117
18/12,4,4,24.121,24.121
19/12,10,10,24.131,24.131
20/12,14,14,24.145,24.145
21/12,10,10,24.155,24.155
22/12,16,16,24.171,24.171
23/12,27,27,24.198,24.198
24/12,19,19,24.217,24.217
25/12,11,11,24.228,24.228
26/12,18,18,24.246,24.246
27/12,66,66,24.312,24.312
28/12,67,67,24.379,24.379
29/12,68,68,24.447,24.447
30/12,93,93,24.540,24.540
31/12,74,74,24.614,24.614
