Datas,Niterói
2020/03/15,3
2020/03/16,3
2020/03/17,1
2020/03/18,5
2020/03/19,5
2020/03/20,8
2020/03/21,2
2020/03/22,4
2020/03/23,5
2020/03/24,5
2020/03/25,3
2020/03/26,3
2020/03/27,12
2020/03/28,3
2020/03/29,6
2020/03/30,21
2020/03/31,21
2020/04/01,12
2020/04/02,15
2020/04/03,21
2020/04/04,7
2020/04/05,7
2020/04/06,29
2020/04/07,14
2020/04/08,22
2020/04/09,24
2020/04/10,14
2020/04/11,10
2020/04/12,12
2020/04/13,49
2020/04/14,52
2020/04/15,68
2020/04/16,41
2020/04/17,26
2020/04/18,18
2020/04/19,12
2020/04/20,60
2020/04/21,31
2020/04/22,36
2020/04/23,24
2020/04/24,73
2020/04/25,22
2020/04/26,26
2020/04/27,77
2020/04/28,70
2020/04/29,101
2020/04/30,113
2020/05/01,25
2020/05/02,32
2020/05/03,15
2020/05/04,132
2020/05/05,118
2020/05/06,118
2020/05/07,119
2020/05/08,153
2020/05/09,27
2020/05/10,12
2020/05/11,95
2020/05/12,186
2020/05/13,228
2020/05/14,158
2020/05/15,152
2020/05/16,19
2020/05/17,37
2020/05/18,180
2020/05/19,219
2020/05/20,181
2020/05/21,164
2020/05/22,123
2020/05/23,27
2020/05/24,27
2020/05/25,235
2020/05/26,134
2020/05/27,199
2020/05/28,150
2020/05/29,109
2020/05/30,26
2020/05/31,19
2020/06/01,163
2020/06/02,146
2020/06/03,146
2020/06/04,140
2020/06/05,156
2020/06/06,18
2020/06/07,18
2020/06/08,167
2020/06/09,136
2020/06/10,137
2020/06/11,53
2020/06/12,104
2020/06/13,36
2020/06/14,30
2020/06/15,148
2020/06/16,160
2020/06/17,125
2020/06/18,124
2020/06/19,119
2020/06/20,28
2020/06/21,17
2020/06/22,105
2020/06/23,152
2020/06/24,110
2020/06/25,104
2020/06/26,152
2020/06/27,22
2020/06/28,5
2020/06/29,134
2020/06/30,125
2020/07/01,138
2020/07/02,92
2020/07/03,109
2020/07/04,27
2020/07/05,22
2020/07/06,117
2020/07/07,106
2020/07/08,70
2020/07/09,71
2020/07/10,90
2020/07/11,27
2020/07/12,17
2020/07/13,95
2020/07/14,70
2020/07/15,69
2020/07/16,71
2020/07/17,72
2020/07/18,15
2020/07/19,9
2020/07/20,89
2020/07/21,138
2020/07/22,112
2020/07/23,78
2020/07/24,100
2020/07/25,15
2020/07/26,8
2020/07/27,107
2020/07/28,87
2020/07/29,75
2020/07/30,126
2020/07/31,57
2020/08/01,19
2020/08/02,46
2020/08/03,117
2020/08/04,123
2020/08/05,82
2020/08/06,118
2020/08/07,79
2020/08/08,21
2020/08/09,8
2020/08/10,150
2020/08/11,96
2020/08/12,110
2020/08/13,75
2020/08/14,108
2020/08/15,10
2020/08/16,17
2020/08/17,101
2020/08/18,80
2020/08/19,77
2020/08/20,60
2020/08/21,99
2020/08/22,19
2020/08/23,7
2020/08/24,122
2020/08/25,112
2020/08/26,120
2020/08/27,138
2020/08/28,108
2020/08/29,16
2020/08/30,13
2020/08/31,94
2020/09/01,107
2020/09/02,116
2020/09/03,124
2020/09/04,132
2020/09/05,20
2020/09/06,16
2020/09/07,7
2020/09/08,142
2020/09/09,171
2020/09/10,145
2020/09/11,85
2020/09/12,17
2020/09/13,9
2020/09/14,150
2020/09/15,147
2020/09/16,166
2020/09/17,92
2020/09/18,87
2020/09/19,13
2020/09/20,8
2020/09/21,105
2020/09/22,123
2020/09/23,146
2020/09/24,77
2020/09/25,80
2020/09/26,14
2020/09/27,20
2020/09/28,149
2020/09/29,134
2020/09/30,123
2020/10/01,115
2020/10/02,110
2020/10/03,14
2020/10/04,14
2020/10/05,121
2020/10/06,171
2020/10/07,124
2020/10/08,103
2020/10/09,116
2020/10/10,13
2020/10/11,18
2020/10/12,16
2020/10/13,166
2020/10/14,104
2020/10/15,148
2020/10/16,123
2020/10/17,12
2020/10/18,10
2020/10/19,140
2020/10/20,154
2020/10/21,150
2020/10/22,147
2020/10/23,141
2020/10/24,14
2020/10/25,15
2020/10/26,168
2020/10/27,191
2020/10/28,170
2020/10/29,185
2020/10/30,32
2020/10/31,20
2020/11/01,17
2020/11/02,24
2020/11/03,172
2020/11/04,151
2020/11/05,216
2020/11/06,184
2020/11/07,22
2020/11/08,27
2020/11/09,193
2020/11/10,216
2020/11/11,215
2020/11/12,164
2020/11/13,176
2020/11/14,46
2020/11/15,13
2020/11/16,239
2020/11/17,215
2020/11/18,182
2020/11/19,250
2020/11/20,47
2020/11/21,45
2020/11/22,28
2020/11/23,292
2020/11/24,341
2020/11/25,182
2020/11/26,335
2020/11/27,254
2020/11/28,45
2020/11/29,26
2020/11/30,350
2020/12/01,269
2020/12/02,260
2020/12/03,303
2020/12/04,362
2020/12/05,48
2020/12/06,28
2020/12/07,269
2020/12/08,333
2020/12/09,442
2020/12/10,418
2020/12/11,331
2020/12/12,21
2020/12/13,25
2020/12/14,257
2020/12/15,363
2020/12/16,365
2020/12/17,364
2020/12/18,258
2020/12/19,37
2020/12/20,24
2020/12/21,307
2020/12/22,240
2020/12/23,299
2020/12/24,16
2020/12/25,22
2020/12/26,41
2020/12/27,24
2020/12/28,407
2020/12/29,334
2020/12/30,325
2020/12/31,55
2021/01/01,34
2021/01/02,61
2021/01/03,50
2021/01/04,311
2021/01/05,334
2021/01/06,321
2021/01/07,229
2021/01/08,221
2021/01/09,36
2021/01/10,36
2021/01/11,249
2021/01/12,250
2021/01/13,268
2021/01/14,236
2021/01/15,216
2021/01/16,23
2021/01/17,9
2021/01/18,251
2021/01/19,248
2021/01/20,155
2021/01/21,143
2021/01/22,188
2021/01/23,18
2021/01/24,11
2021/01/25,234
2021/01/26,137
2021/01/27,117
2021/01/28,101
2021/01/29,58
2021/01/30,15
2021/01/31,26
2021/02/01,117
2021/02/02,101
2021/02/03,125
2021/02/04,103
2021/02/05,68
2021/02/06,14
2021/02/07,6
2021/02/08,124
2021/02/09,92
2021/02/10,72
2021/02/11,89
2021/02/12,63
2021/02/13,7
2021/02/14,11
2021/02/15,45
2021/02/16,10
2021/02/17,93
2021/02/18,132
2021/02/19,70
2021/02/20,12
2021/02/21,9
2021/02/22,110
2021/02/23,152
2021/02/24,84
2021/02/25,87
2021/02/26,117
2021/02/27,11
2021/02/28,12
2021/03/01,113
2021/03/02,126
2021/03/03,83
2021/03/04,119
2021/03/05,108
2021/03/06,15
2021/03/07,15
2021/03/08,149
2021/03/09,159
2021/03/10,128
2021/03/11,144
2021/03/12,120
2021/03/13,21
2021/03/14,20
2021/03/15,179
2021/03/16,151
2021/03/17,142
2021/03/18,143
2021/03/19,106
2021/03/20,24
2021/03/21,20
2021/03/22,182
2021/03/23,178
2021/03/24,152
2021/03/25,151
2021/03/26,170
2021/03/27,30
2021/03/28,18
2021/03/29,200
2021/03/30,160
2021/03/31,191
2021/04/01,139
2021/04/02,43
2021/04/03,33
2021/04/04,23
2021/04/05,256
2021/04/06,193
2021/04/07,161
2021/04/08,177
2021/04/09,140
2021/04/10,23
2021/04/11,12
2021/04/12,185
2021/04/13,208
2021/04/14,135
2021/04/15,121
2021/04/16,112
2021/04/17,21
2021/04/18,18
2021/04/19,190
2021/04/20,129
2021/04/21,110
2021/04/22,154
2021/04/23,95
2021/04/24,26
2021/04/25,18
2021/04/26,152
2021/04/27,141
2021/04/28,142
2021/04/29,122
2021/04/30,148
2021/05/01,71
2021/05/02,75
2021/05/03,207
2021/05/04,198
2021/05/05,177
2021/05/06,193
2021/05/07,201
2021/05/08,44
2021/05/09,61
2021/05/10,206
2021/05/11,163
2021/05/12,127
2021/05/13,140
2021/05/14,171
2021/05/15,52
2021/05/16,28
2021/05/17,203
2021/05/18,188
2021/05/19,240
2021/05/20,149
2021/05/21,125
2021/05/22,41
2021/05/23,33
2021/05/24,136
2021/05/25,168
2021/05/26,150
2021/05/27,133
2021/05/28,130
2021/05/29,31
2021/05/30,84
2021/05/31,153
2021/06/01,191
2021/06/02,132
2021/06/03,90
2021/06/04,79
2021/06/05,43
2021/06/06,22
2021/06/07,142
2021/06/08,160
2021/06/09,114
2021/06/10,136
2021/06/11,102
2021/06/12,36
2021/06/13,28
2021/06/14,107
2021/06/15,116
2021/06/16,103
2021/06/17,92
2021/06/18,127
2021/06/19,33
2021/06/20,43
2021/06/21,107
2021/06/22,117
2021/06/23,91
2021/06/24,37
2021/06/25,80
2021/06/26,31
2021/06/27,32
2021/06/28,109
2021/06/29,39
2021/06/30,78
2021/07/01,84
2021/07/02,66
2021/07/03,28
2021/07/04,27
2021/07/05,128
2021/07/06,96
2021/07/07,89
2021/07/08,117
2021/07/09,169
2021/07/10,15
2021/07/11,25
2021/07/12,91
2021/07/13,134
2021/07/14,103
2021/07/15,130
2021/07/16,135
2021/07/17,33
2021/07/18,30
2021/07/19,59
2021/07/20,158
2021/07/21,127
2021/07/22,120
2021/07/23,167
2021/07/24,22
2021/07/25,23
2021/07/26,175
2021/07/27,143
2021/07/28,155
2021/07/29,125
2021/07/30,115
2021/07/31,41
2021/08/01,17
2021/08/02,139
2021/08/03,183
2021/08/04,155
2021/08/05,127
2021/08/06,87
2021/08/07,49
2021/08/08,45
2021/08/09,167
2021/08/10,105
2021/08/11,115
2021/08/12,96
2021/08/13,81
2021/08/14,34
2021/08/15,51
2021/08/16,165
2021/08/17,142
2021/08/18,146
2021/08/19,116
2021/08/20,127
2021/08/21,55
2021/08/22,19
2021/08/23,226
2021/08/24,126
2021/08/25,130
2021/08/26,90
2021/08/27,113
2021/08/28,38
2021/08/29,18
2021/08/30,162
2021/08/31,106
2021/09/01,127
2021/09/02,87
2021/09/03,96
2021/09/04,22
2021/09/05,38
2021/09/06,60
2021/09/07,73
2021/09/08,68
2021/09/09,83
2021/09/10,65
2021/09/11,13
2021/09/12,11
2021/09/13,90
2021/09/14,49
2021/09/15,95
2021/09/16,80
2021/09/17,57
2021/09/18,11
2021/09/19,4
2021/09/20,55
2021/09/21,65
2021/09/22,35
2021/09/23,52
2021/09/24,61
2021/09/25,6
2021/09/26,20
2021/09/27,49
2021/09/28,40
2021/09/29,56
2021/09/30,28
2021/10/01,58
2021/10/02,13
2021/10/03,10
2021/10/04,49
2021/10/05,52
2021/10/06,58
2021/10/07,44
2021/10/08,24
2021/10/09,7
2021/10/10,7
2021/10/11,13
2021/10/12,32
2021/10/13,42
2021/10/14,37
2021/10/15,28
2021/10/16,6
2021/10/17,52
2021/10/18,41
2021/10/19,18
2021/10/20,20
2021/10/21,26
2021/10/22,29
2021/10/23,7
2021/10/24,21
2021/10/25,32
2021/10/26,20
2021/10/27,14
2021/10/28,22
2021/10/29,20
2021/10/30,3
2021/10/31,2
2021/11/01,5
2021/11/02,3
2021/11/03,25
2021/11/04,10
2021/11/05,13
2021/11/06,1
2021/11/07,1
2021/11/08,12
2021/11/09,21
2021/11/10,8
2021/11/11,6
2021/11/13,
2021/11/12,7
2021/11/14,1
2021/11/15,3
2021/11/16,10
2021/11/17,18
2021/11/18,13
2021/11/19,8
2021/11/20,
2021/11/21,1
2021/11/22,11
2021/11/23,25
2021/11/24,19
2021/11/25,16
2021/11/26,22
2021/11/27,1
2021/11/28,2
2021/11/29,17
2021/11/30,12
2021/12/01,24
2021/12/02,13
2021/12/03,21
2021/12/04,3
2021/12/05,2
2021/12/06,31
2021/12/07,15
2021/12/08,20
2021/12/09,12
2021/12/10,4
2021/12/11,
2021/12/12,
2021/12/13,8
2021/12/14,6
2021/12/15,5
2021/12/16,1
2021/12/17,3
2021/12/18,2
2021/12/19,
2021/12/20,2
2021/12/21,4
2021/12/22,9
2021/12/23,16
2021/12/24,9
2021/12/25,6
2021/12/26,2
2021/12/27,10
2021/12/28,44
2021/12/29,51
2021/12/30,40
2021/12/31,10
2022/01/01,12
2022/01/02,10
2022/01/03,64
2022/01/04,151
2022/01/05,275
2022/01/06,325
2022/01/07,289
2022/01/08,73
2022/01/09,119
2022/01/10,581
2022/01/11,538
2022/01/12,634
2022/01/13,640
2022/01/14,155
2022/01/15,123
2022/01/16,91
2022/01/17,973
2022/01/18,665
2022/01/19,652
2022/01/20,500
2022/01/21,459
2022/01/22,81
2022/01/23,84
2022/01/24,428
2022/01/25,440
2022/01/26,551
2022/01/27,324
2022/01/28,305
2022/01/29,113
2022/01/30,41
2022/01/31,386
2022/02/01,312
2022/02/02,288
2022/02/03,245
2022/02/04,240
2022/02/05,34
2022/02/06,33
2022/02/07,307
2022/02/08,319
2022/02/09,388
2022/02/10,172
2022/02/11,272
2022/02/12,10
2022/02/13,7
2022/02/14,223
2022/02/15,76
2022/02/16,84
2022/02/17,55
2022/02/18,51
2022/02/19,3
2022/02/20,5
2022/02/21,78
2022/02/22,65
2022/02/23,217
2022/02/24,145
2022/02/25,24
2022/02/26,10
2022/02/27,
2022/02/28,65
2022/03/01,1
2022/03/02,53
2022/03/03,37
2022/03/04,27
2022/03/05,39
2022/03/06,6
2022/03/07,87
2022/03/08,69
2022/03/09,128
2022/03/10,159
2022/03/11,69
2022/03/12,3
2022/03/13,2
2022/03/14,74
2022/03/15,66
2022/03/16,70
2022/03/17,26
2022/03/18,31
2022/03/19,13
2022/03/20,1
2022/03/21,135
2022/03/22,137
2022/03/23,57
2022/03/24,55
2022/03/25,7
2022/03/26,
2022/03/27,3
2022/03/28,21
2022/03/29,82
2022/03/30,127
2022/03/31,60
2022/04/01,33
2022/04/02,
2022/04/03,37
2022/04/04,64
2022/04/05,103
2022/04/06,172
2022/04/07,139
2022/04/08,69
2022/04/09,1
2022/04/10,
2022/04/11,90
2022/04/12,126
2022/04/13,59
2022/04/14,37
2022/04/15,17
2022/04/16,6
2022/04/17,
2022/04/18,15
2022/04/19,64
2022/04/20,76
2022/04/21,3
2022/04/22,1
2022/04/23,
2022/04/24,8
2022/04/25,40
2022/04/26,178
2022/04/27,71
2022/04/28,30
2022/04/29,61
2022/04/30,5
2022/05/01,2
2022/05/02,72
2022/05/03,158
2022/05/04,81
2022/05/05,129
2022/05/06,17
2022/05/07,3
2022/05/08,5
2022/05/09,29
2022/05/10,119
2022/05/11,57
2022/05/12,20
2022/05/13,10
2022/05/14,9
2022/05/15,8
2022/05/16,17
2022/05/17,4
2022/05/18,5
2022/05/19,14
2022/05/20,88
2022/05/21,27
2022/05/22,6
2022/05/23,57
2022/05/24,35
2022/05/25,90
2022/05/26,112
2022/05/27,115
2022/05/28,24
2022/05/29,24
2022/05/30,95
2022/05/31,152
2022/06/01,160
2022/06/02,207
2022/06/03,151
2022/06/04,103
2022/06/05,35
2022/06/06,198
2022/06/07,239
2022/06/08,191
2022/06/09,214
2022/06/10,200
2022/06/11,76
2022/06/12,15
2022/06/13,192
2022/06/14,246
2022/06/15,274
2022/06/16,43
2022/06/17,110
2022/06/18,58
2022/06/19,20
2022/06/20,241
2022/06/21,276
2022/06/22,141
2022/06/23,149
2022/06/24,58
2022/06/25,70
2022/06/26,53
2022/06/27,210
2022/06/28,166
2022/06/29,180
2022/06/30,163
2022/07/01,81
2022/07/02,31
2022/07/03,13
2022/07/04,163
2022/07/05,90
2022/07/06,121
2022/07/07,98
2022/07/08,76
2022/07/09,17
2022/07/10,8
2022/07/11,108
2022/07/12,83
2022/07/13,50
2022/07/14,53
2022/07/15,36
2022/07/16,14
2022/07/17,16
2022/07/18,71
2022/07/19,43
2022/07/20,29
2022/07/21,50
2022/07/22,18
2022/07/23,3
2022/07/24,2
2022/07/25,42
2022/07/26,25
2022/07/27,18
2022/07/28,14
2022/07/29,17
2022/07/30,3
2022/07/31,7
2022/08/01,21
2022/08/02,8
2022/08/03,14
2022/08/04,22
2022/08/05,10
2022/08/06,3
2022/08/07,3
2022/08/08,13
2022/08/09,20
2022/08/10,16
2022/08/11,27
2022/08/12,6
2022/08/13,1
2022/08/14,1
2022/08/15,18
2022/08/16,43
2022/08/17,13
2022/08/18,14
2022/08/19,6
2022/08/20,3
2022/08/21,5
2022/08/22,37
2022/08/23,33
2022/08/24,30
2022/08/25,4
2022/08/26,3
2022/08/27,1
2022/08/28,
2022/08/29,13
2022/08/30,42
2022/08/31,15
2022/09/01,44
