Datas,África do Sul
2021/02/18,2260
2021/02/19,4264
2021/02/20,3890
2021/02/21,4974
2021/02/22,7671
2021/02/23,9256
2021/02/24,9494
2021/02/25,10838
2021/02/26,11001
2021/02/27,3655
2021/02/28,3224
2021/03/01,2520
2021/03/02,2990
2021/03/03,7533
2021/03/04,8459
2021/03/05,8151
2021/03/06,1393
2021/03/08,268
2021/03/09,5213
2021/03/10,21833
2021/03/11,9127
2021/03/12,7201
2021/03/13,329
2021/03/15,2209
2021/03/16,9533
2021/03/17,11127
2021/03/18,8862
2021/03/19,5708
2021/03/23,11274
2021/03/24,13551
2021/03/25,12321
2021/03/26,10873
2021/03/27,603
2021/03/29,8060
2021/03/30,12042
2021/03/31,12171
2021/04/01,5224
2021/04/06,3336
2021/04/07,6471
2021/04/08,4720
2021/04/09,4739
2021/04/10,38
2021/04/12,1381
2021/04/13,2836
2021/04/28,5530
2021/04/29,9438
2021/04/30,10065
2021/05/01,1014
2021/05/03,10428
2021/05/04,24083
2021/05/05,12920
2021/05/07,15070
2021/05/08,1309
2021/05/10,12750
2021/05/11,19142
2021/05/12,16358
2021/05/13,24439
2021/05/14,19149
2021/05/15,4134
2021/05/16,281
2021/05/18,40406
2021/05/19,39031
2021/05/20,39236
2021/05/21,44976
2021/05/22,5601
2021/05/23,3645
2021/05/24,49276
2021/05/25,60999
2021/05/26,66301
2021/05/27,70751
2021/05/28,64921
2021/05/29,4443
2021/05/30,2129
2021/05/31,74656
2021/06/01,72465
2021/06/02,75783
2021/06/03,73541
2021/06/04,69654
2021/06/05,6886
2021/06/06,6812
2021/06/07,83485
2021/06/08,91541
2021/06/09,93740
2021/06/10,71015
2021/06/11,77389
2021/06/12,6002
2021/06/13,3871
2021/06/14,94699
2021/06/15,93825
2021/06/16,8287
2021/06/17,95247
2021/06/18,67725
2021/06/19,4553
2021/06/21,87618
2021/06/24,321006
2021/06/25,111130
2021/06/26,21332
2021/06/27,97202
2021/06/28,8084
2021/06/29,112670
2021/06/30,125970
2021/07/01,129081
2021/07/03,151871
2021/07/04,6690
2021/07/05,151950
2021/07/06,164874
2021/07/08,386340
2021/07/09,185851
2021/07/10,33425
2021/07/12,154173
2021/07/13,144331
2021/07/15,511045
2021/07/19,48746
2021/07/20,233097
2021/07/22,756998
2021/07/23,223093
2021/07/25,76181
2021/07/26,229322
2021/07/27,240963
2021/07/29,443245
2021/08/01,252455
2021/08/02,17390
2021/08/03,414065
2021/08/05,200558
2021/08/08,419744
2021/08/10,209484
2021/08/12,374148
2021/08/15,201373
2021/08/16,170413
2021/08/18,404569
2021/08/19,205638
2021/08/20,263375
2021/08/22,48239
2021/08/23,311138
2021/08/24,285605
2021/08/27,848866
2021/08/30,364506
2021/08/31,279047
2021/09/01,273012
2021/09/02,270731
2021/09/05,342555
2021/09/07,437478
2021/09/09,233707
2021/09/10,484564
2021/09/11,59589
2021/09/12,20425
2021/09/13,232368
2021/09/14,265833
2021/09/15,258247
2021/09/16,236763
2021/09/19,308577
2021/09/21,365702
2021/09/22,202642
2021/09/23,194415
2021/09/24,26705
2021/09/26,45952
2021/09/27,171932
2021/09/30,505636
2021/10/03,369829
2021/10/05,410733
2021/10/06,225023
2021/10/08,224184
2021/10/11,306408
2021/10/13,638216
2021/10/15,220213
2021/10/17,300267
2021/10/19,380601
2021/10/23,719266
2021/10/25,213935
2021/10/30,849277
2021/10/31,18641
2021/11/02,250969
2021/11/03,166762
2021/11/04,165441
2021/11/06,130770
2021/11/07,55930
2021/11/08,113169
2021/11/09,137292
2021/11/10,138263
2021/11/12,291821
2021/11/13,79098
2021/11/14,39479
2021/11/15,131730
2021/11/16,133927
2021/11/17,130303
2021/11/18,124305
2021/11/20,159594
2021/11/21,15249
2021/11/22,108263
2021/11/23,120212
2021/11/24,127704
2021/11/26,236557
2021/11/27,36100
2021/11/29,173878
2021/11/30,171124
2021/12/01,162368
2021/12/02,327177
2021/12/04,214947
2021/12/05,24447
2021/12/06,141586
2021/12/07,148877
2021/12/08,142349
2021/12/10,261392
2021/12/12,47941
2021/12/13,97631
2021/12/14,109919
2021/12/15,102253
2021/12/16,88489
2021/12/19,24611
2021/12/21,147715
2021/12/24,130795
2021/12/26,2508
2021/12/27,3161
2021/12/28,52722
2021/12/29,52559
2022/01/01,63326
2022/01/02,877
2022/01/03,54585
2022/01/04,130978
2022/01/07,143719
2022/01/09,21060
2022/01/10,196874
2022/01/11,102285
2022/01/12,88978
2022/01/13,88390
2022/01/14,90300
2022/01/15,22079
2022/01/16,4380
2022/01/17,87919
2022/01/18,85885
2022/01/19,84171
2022/01/20,82118
2022/01/21,88121
2022/01/22,23669
2022/01/24,89601
2022/01/26,173676
2022/01/27,76213
2022/01/28,81660
2022/01/30,28146
2022/01/31,72351
2022/02/02,147194
2022/02/03,69253
2022/02/06,88598
2022/02/09,208061
2022/02/11,142810
2022/02/12,14575
2022/02/13,15196
2022/02/14,57029
2022/02/16,151858
2022/02/17,79601
2022/02/19,100963
2022/02/20,5117
2022/02/22,158233
2022/02/23,94742
2022/02/25,186373
2022/02/27,34826
2022/03/01,213427
2022/03/04,337362
2022/03/05,29835
2022/03/06,7414
2022/03/07,98986
2022/03/09,99344
2022/03/10,97195
2022/03/11,195143
2022/03/13,23163
2022/03/14,7345
2022/03/15,82544
2022/03/16,91531
2022/03/17,95075
2022/03/18,85837
2022/03/19,84524
2022/03/20,20283
2022/03/21,6245
2022/03/22,8742
2022/03/23,82090
2022/03/24,96214
2022/03/25,94790
2022/03/26,83031
2022/03/27,26453
2022/03/29,79990
2022/03/30,84150
2022/03/31,86931
2022/04/01,81393
2022/04/04,83039
2022/04/05,53972
2022/04/06,55884
2022/04/07,60858
2022/04/08,62508
2022/04/09,63898
2022/04/10,21385
2022/04/11,7272
2022/04/12,49007
2022/04/13,57471
2022/04/14,56514
2022/04/15,40824
2022/04/18,11206
2022/04/19,4439
2022/04/20,47024
2022/04/21,55876
2022/04/22,57257
2022/04/23,69828
2022/04/25,4174
2022/04/26,59132
2022/04/27,67251
2022/04/28,12343
2022/04/29,67430
2022/04/30,58212
2022/05/01,12570
2022/05/02,3780
2022/05/03,5838
2022/05/04,54304
2022/05/05,57824
2022/05/06,59172
2022/05/07,53595
2022/05/08,12742
2022/05/09,3618
2022/05/10,53644
2022/05/11,61184
2022/05/12,64378
2022/05/13,62945
2022/05/14,54688
2022/05/15,11682
2022/05/16,4466
2022/05/17,53211
2022/05/18,62324
2022/05/19,60661
2022/05/20,62327
2022/05/21,51739
2022/05/22,9002
2022/05/23,3865
2022/05/24,49546
2022/05/25,55278
2022/05/26,54461
2022/05/27,55455
2022/05/28,46402
2022/05/29,10074
2022/05/30,4332
2022/05/31,43209
2022/06/01,42661
2022/06/02,42958
2022/06/03,43112
2022/06/04,38900
2022/06/05,7372
2022/06/06,2425
2022/06/07,37251
2022/06/08,41092
2022/06/09,44619
2022/06/10,42328
2022/06/11,33263
2022/06/12,7277
2022/06/13,2127
2022/06/14,35758
2022/06/15,38486
2022/06/16,35540
2022/06/17,7179
